,AdrActCnt,CapAct1yrUSD,PriceUSD,times,OneDayReturn,NextDayReturn
255,3682.0,6787980462.00042,0.218175453282988,2018-06-05,0.031125984828386022,-0.018501004473287175
256,3802.0,6662396005.10837,0.214138988245838,2018-06-06,-0.018501004473287175,-0.02361354766627033
257,3286.0,6505073199.47017,0.209082407039688,2018-06-07,-0.02361354766627033,-0.01849595840443874
258,2320.0,6384755636.15494,0.205215227535982,2018-06-08,-0.01849595840443874,-0.01629748192635261
259,2124.0,6280700196.57053,0.201870736074202,2018-06-09,-0.01629748192635261,-0.14437536036354992
260,3497.0,5373921842.35524,0.172725575806634,2018-06-10,-0.14437536036354992,0.031882871669069335
261,4504.0,5545257902.81466,0.178232563174043,2018-06-11,0.031882871669069335,-0.09184340271463376
262,3911.0,5035962548.08995,0.161863078097588,2018-06-12,-0.09184340271463376,-0.023423254936559057
263,3515.0,4918003913.47508,0.158071717954492,2018-06-13,-0.023423254936559057,0.07651405342962736
264,7256.0,5294300327.67782,0.170166425827775,2018-06-14,0.07651405342962736,-0.05231735370959345
265,3572.0,5017316544.78989,0.161263768738246,2018-06-15,-0.05231735370959345,0.005198276264841928
266,2528.0,5043397942.29787,0.162102062359657,2018-06-16,0.005198276264841928,-0.009676300544411487
267,2312.0,4994596508.04313,0.160533514085396,2018-06-17,-0.009676300544411487,0.019531654457131342
268,2818.0,5092149241.19102,0.163668999211301,2018-06-18,0.019531654457131342,0.015332306650597038
269,3954.0,5170223634.86757,0.166178422496405,2018-06-19,0.015332306650597038,-0.02641275251593489
270,2749.0,5033663797.54777,0.161789192949519,2018-06-20,-0.02641275251593489,-0.022937190876741065
271,2896.0,4918205690.21408,0.158078203349042,2018-06-21,-0.022937190876741065,-0.12433874188762462
272,3060.0,4306682182.3483,0.138422958424766,2018-06-22,-0.12433874188762462,-0.004513865554546803
273,2739.0,4287242397.99102,0.137798135800774,2018-06-23,-0.004513865554546803,-0.0514766352893371
274,3438.0,4066549584.67265,0.130704751420607,2018-06-24,-0.0514766352893371,0.03310414249425553
275,3705.0,4201169221.58361,0.135031620136311,2018-06-25,0.03310414249425553,-0.06441021341860653
276,2131.0,3930571015.41373,0.126334204665071,2018-06-26,-0.06441021341860653,0.008160971533634598
277,4750.0,3962648293.58145,0.127365214513067,2018-06-27,0.008160971533634598,-0.07146698831571596
278,2830.0,3679449754.28477,0.118262806215633,2018-06-28,-0.07146698831571596,0.06437446922389722
279,3376.0,3916312379.25285,0.125875911594693,2018-06-29,0.06437446922389722,0.08533384840398539
280,3261.0,4250506386.12667,0.136617387552428,2018-06-30,0.08533384840398539,0.05108781197316903
281,3266.0,4467655457.17186,0.143596870959972,2018-07-01,0.05108781197316903,0.07717089932166421
282,3959.0,4812428446.66116,0.15467837063173,2018-07-02,0.07717089932166421,-0.034651510149360965
283,3287.0,4645670533.4986,0.149318531501898,2018-07-03,-0.034651510149360965,0.013627025027507456
284,3104.0,4708977202.12814,0.151353298867745,2018-07-04,0.013627025027507456,-0.027291949390184755
285,3074.0,4580460034.64813,0.147222572295009,2018-07-05,-0.027291949390184755,-0.015742650229923827
286,2643.0,4508351454.43052,0.144904898833419,2018-07-06,-0.015742650229923827,0.008598813898510027
287,2090.0,4547117929.57624,0.14615090909147,2018-07-07,0.008598813898510027,-0.0075657494377811
288,2483.0,4512715574.65703,0.14504516793318,2018-07-08,-0.0075657494377811,-0.03748639230917261
289,2466.0,4343550148.24572,0.139607947865487,2018-07-09,-0.03748639230917261,-0.08012657308068916
290,2505.0,3995516359.86267,0.128421641428198,2018-07-10,-0.08012657308068916,0.021754817381827607
291,2519.0,4082438088.61759,0.131215430785343,2018-07-11,0.021754817381827607,-0.05279274051448524
292,2411.0,3866914993.93875,0.124288208596396,2018-07-12,-0.05279274051448524,0.10298545062425313
293,2781.0,4265150977.11521,0.137088085765977,2018-07-13,0.10298545062425313,-0.0012874957679569476
294,2523.0,4259659613.28248,0.136911585435716,2018-07-14,-0.0012874957679569476,0.040712173522525985
295,2298.0,4433079614.60533,0.142485553659219,2018-07-15,0.040712173522525985,0.1050627668546833
296,3205.0,4898831224.60286,0.157455480163478,2018-07-16,0.1050627668546833,0.08960432176625832
297,4051.0,5337787673.93077,0.171564171671907,2018-07-17,0.08960432176625832,0.05337302075361827
298,4713.0,5622681526.22988,0.180721069767129,2018-07-18,0.05337302075361827,0.007292148271007548
299,3460.0,5663682953.5998,0.182038914603566,2018-07-19,0.007292148271007548,-0.11453220420707544
